détails,état,marque,adresse,prix,image_lien
Pc Gaming (2025) RTX 5070,Neuf,ASUS,"Sicap Sacré-cœur, Dakar",1650000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/e667654fe587fec3d870b6bf653d9c40/-/horizon-files-prod/ed/picture/qkr78468/39045021306eb01168de226de8b34e9bfeef535a.jpg
hp Omen 16' RTX 3060,Neuf,HP,"Sicap Sacré-cœur, Dakar",550000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/335cc54c0304a72fd416de3993cd3e30/-/horizon-files-prod/ed/picture/qenr9xm9/df69bb67703eff4013d2eef4750c7ed162628e0e.jpg
Dell 3189 tactile Duo core ram 8,Venant,Dell,"Médina, Dakar",85000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/1cc988b49910a3ccd45cadb3d7908c1e/-/horizon-files-prod/ed/picture/qenqkgxj/78f64b989e6786d2096ada846b120881ac01ca03.jpg
𝗔𝗟𝗟 𝗜𝗡 𝗢𝗡𝗘 𝗗𝗧𝗘𝗡 𝗗𝟳 𝟱𝟱’’,Venant,N/A,"Médina, Dakar",1100000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3e444014084bf9723cfaf66d505f1343/-/horizon-files-prod/ed/picture/qrzr6r42/7c1ee14c87e4758556453b07d7754287d5a68dab.jpg
𝗛𝗣 𝗣𝗥𝗢𝗕𝗢𝗢𝗞 𝟰𝟰𝟬 𝗚𝟴 | 𝗶𝟱 | 𝟭𝟭 𝗚𝗘𝗡,Venant,HP,"Médina, Dakar",250000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c695371478a326d648a97dbf5c4ac909/-/horizon-files-prod/ed/picture/qde7gzqg/5c1cb0f9e34b02140d54d23b1a2e45fcc498f475.jpg
"𝗔𝗟𝗟 𝗜𝗡 𝗢𝗡𝗘 𝗛𝗣 𝗘𝗹𝗶𝘁𝗲𝗢𝗻𝗲 𝟭𝟬𝟬𝟬 𝗚𝟭 | 𝗘𝗰𝗿𝗮𝗻 𝗜𝗻𝗰𝘂𝗿𝘃𝗲́ 𝟯𝟰""",Venant,HP,"Médina, Dakar",450000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/277451febda1b7d1ffb3911f401d6910/-/horizon-files-prod/ed/picture/qq42pzpz/0a80e4607a5d59283f9e85a6d08fccfebbfe85d1.jpg
𝗛𝗣 𝗭𝟲𝟰𝟬 𝗩𝟯 𝗪𝗼𝗿𝗸𝘀𝘁𝗮𝘁𝗶𝗼𝗻 + 𝗘𝗖𝗥𝗔𝗡 𝟮𝟮'',Venant,HP,"Médina, Dakar",150000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/14fb6e528652e4d2785d4629ced65c68/-/horizon-files-prod/ed/picture/qm50vj5q/590e1b0200e7ada5919b29dc031a98e09b705092.jpg
𝗛𝗣 𝗘𝗟𝗜𝗧𝗘𝗕𝗢𝗢𝗞 𝟴𝟰𝟬 𝗚𝟲 | 𝗜𝟱 | 𝟴 𝗚𝗘𝗡,Venant,HP,"Médina, Dakar",175000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/70d3d9587a7c72f92350baac07fbab25/-/horizon-files-prod/ed/picture/qng9pzng/20c2a7475034c4b49dbf1b47e7bbd6a3413dab40.jpg
HP ELITEBOOK 840 G3 | i5 | 6 Gen,Venant,HP,"Médina, Dakar",125000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/c4464973a4a8677a9a41d09e0e4e8748/-/horizon-files-prod/ed/picture/qxjp7n04/8215b78ac85177d16cbff765987a3251872a8720.jpg
𝗜𝗠𝗔𝗖 𝗦𝗟𝗜𝗠 𝟮𝟬𝟭𝟳 | 𝗶𝟳 | 𝟮𝟭.𝟱″,Venant,Apple,"Médina, Dakar",265000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/16775d4aba84787a8a2b64c562be4efd/-/horizon-files-prod/ed/picture/qngpqrnm/5f202ace8afe813459339afe8af644f43b8bcd9f.jpg
