détails,état,marque,adresse,prix,image_lien
TELEVISEUR 85POUCES SAMSUNG SMART UHD 4K CU7000U,Neuf,Samsung,"Plateau, Dakar",939000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8ecca1a8aaa9eafb01167fb317a03f98/-/horizon-files-prod/ed/picture/qpdg029q/8bff34c7a45e83c02403f91452818cb755861da5.jpg
TELEVISEUR 55POUCES SAMSUNG SMART UHD 4K DU7000UXZN,Neuf,Samsung,"Plateau, Dakar",298000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/7e3ff1179ea21642d6e26b3d3459aa82/-/horizon-files-prod/ed/picture/qxj8gxmw/168775e83a1ace5d6a881ff78a8ff0e69b3950be.jpg
Téléviseurs 43 pouces smart androïde wow,Neuf,Autre,"Plateau, Dakar",110000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d42938a0d4ef8b535c09f78625947559/-/horizon-files-prod/ed/picture/qm506dkj/48ab6d625662234a40fdf7161e48e4e93c59db43.jpg
TELEVISEUR 75POUCES WIWLIL SMART ANDROID 4K ULTRA HD,Neuf,Autre,"Plateau, Dakar",498000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d3b4abf38011bdc046fb3e69aca12cee/-/horizon-files-prod/ed/picture/qq4z965j/de2109b503fa2c5598746e05f1a3dd11516b423b.jpg
"smart hisense 43"" full options",Neuf,Hisense,"Ouakam, Dakar",175000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/6b92698b7f0ba4d592321196351e7909/-/horizon-files-prod/ed/picture/q9mjjxp5/4c574da6829e1d65498eb4980a456b59b90dc560.jpg
TELEVISEUR 43POUCES SAMSUNG UA 43N5000AS,Neuf,Samsung,"Plateau, Dakar",159000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/3bd754c486b5087e158c4044640bb278/-/horizon-files-prod/ed/picture/q2jk75qd/d9553f07d320be81a0e068c05dbd08474b8cff54.jpg
TELEVISEUR 40POUCES SAMSUNG UA 40N5000AS,Neuf,Samsung,"Plateau, Dakar",149000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/aaa565f360f064c629fc66d0f240077b/-/horizon-files-prod/ed/picture/qxj8gx28/d18e144ffdd18ed01677a6f63f3345ae590bc07f.jpg
TELEVISEUR 75POUCES SAMSUNG UE SMART 4K AU/ CU7170,Neuf,Samsung,"Plateau, Dakar",698000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/8cc82dca97a4c3935bea347610117ca6/-/horizon-files-prod/ed/picture/q9mk5w8p/52e5af9b7200fe324fe9d56e9c46b8bb929e217c.jpg
TELEVISEUR 43POUCES SAMSUNG SMART UA 43N5300AS,Neuf,Samsung,"Plateau, Dakar",179000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/d8f644f739da4205d124debc359d5a00/-/horizon-files-prod/ed/picture/q6xqnz6j/54f0d88a79a663413fe3a497ce373c5d0a6e473d.jpg
TELEVISEUR 85POUCES SAMSUNG SMART QLED 85Q60CAU,Neuf,Samsung,"Plateau, Dakar",1239000,https://i.roamcdn.net/hz/ed/listing-thumb-224w/da61a37b9397978be789b10cff77562f/-/horizon-files-prod/ed/picture/qrzrnn4j/ca9ed232cc0cee8a1f2dc2197044876032a0d11a.jpg
